index	prediction
0	135
1	68
2	115
3	153
4	134
5	64
6	37
7	137
8	173
9	27
10	174
11	46
12	195
13	170
14	17
15	137
16	98
17	137
18	173
19	167
20	174
21	172
22	160
23	46
24	58
25	195
26	170
27	171
28	137
29	143
30	120
31	120
32	91
33	167
34	103
35	130
36	68
37	115
38	153
39	132
40	5
41	9
42	10
43	187
44	159
45	39
46	137
47	173
48	25
49	0
50	98
51	170
52	134
53	64
54	37
55	91
56	147
57	129
58	108
59	147
60	130
61	68
62	115
63	136
64	147
65	122
66	127
67	38
68	200
69	137
70	173
71	34
72	174
73	172
74	46
75	195
76	58
77	195
78	170
79	171
80	17
81	112
82	143
83	120
84	105
85	136
86	147
87	34
88	16
89	127
90	38
91	177
92	130
93	68
94	115
95	115
96	136
97	5
98	191
99	79
100	164
101	66
102	148
103	9
104	132
105	5
106	190
107	164
108	10
109	136
110	147
111	38
112	200
113	58
114	40
115	136
116	147
117	34
118	127
119	34
120	126
121	175
122	40
123	137
124	173
125	27
126	174
127	172
128	46
129	160
130	52
131	195
132	120
133	120
134	110
135	66
136	74
137	136
138	147
139	34
140	127
141	34
142	136
143	147
144	111
145	108
146	106
147	138
148	79
149	190
150	136
151	147
152	122
153	16
154	127
155	130
156	68
157	115
158	147
159	136
160	147
161	34
162	17
163	84
164	2
165	37
166	55
167	52
168	2
169	37
170	2
171	134
172	64
173	37
174	132
175	5
176	190
177	15
178	177
179	136
180	147
181	16
182	177
183	108
184	126
185	136
186	147
187	122
188	16
189	85
190	129
191	4
192	164
193	80
194	138
195	8
196	192
197	184
198	82
199	164
200	91
201	55
202	55
203	129
204	129
205	91
206	68
207	115
208	153
209	135
210	122
211	52
212	52
213	132
214	122
215	132
216	136
217	147
218	34
219	16
220	87
221	177
222	136
223	147
224	34
225	38
226	127
227	136
228	147
229	167
230	127
231	85
232	136
233	147
234	34
235	17
236	119
237	134
238	64
239	37
240	136
241	147
242	37
243	16
244	85
245	137
246	173
247	37
248	174
249	172
250	160
251	46
252	55
253	195
254	170
255	137
256	143
257	136
258	147
259	34
260	16
261	127
262	128
263	58
264	58
265	179
266	136
267	147
268	34
269	16
270	127
271	130
272	68
273	115
274	153
275	134
276	64
277	37
278	117
279	167
280	52
281	52
282	117
283	167
284	117
285	129
286	147
287	71
288	17
289	75
290	117
291	136
292	147
293	34
294	16
295	127
296	91
297	25
298	55
299	55
300	91
301	167
302	91
303	136
304	147
305	34
306	127
307	108
308	136
309	147
310	34
311	16
312	127
313	177
314	85
315	132
316	5
317	190
318	79
319	164
320	66
321	150
322	136
323	147
324	34
325	127
326	38
327	130
328	68
329	115
330	153
331	136
332	147
333	34
334	127
335	108
336	136
337	147
338	34
339	16
340	164
341	38
342	177
343	175
344	135
345	80
346	191
347	134
348	68
349	115
350	153
351	134
352	64
353	34
354	110
355	190
356	67
357	136
358	34
359	34
360	126
361	175
362	40
363	137
364	173
365	25
366	174
367	98
368	160
369	46
370	58
371	195
372	170
373	171
374	17
375	137
376	143
377	120
378	105
379	134
380	64
381	37
382	136
383	147
384	34
385	127
386	38
387	139
388	69
389	132
390	6
391	134
392	64
393	136
394	147
395	34
396	127
397	34
398	126
399	175
400	40
401	136
402	147
403	34
404	16
405	38
406	177
407	40
408	130
409	68
410	115
411	153
412	130
413	68
414	183
415	153
416	91
417	25
418	55
419	55
420	70
421	102
422	137
423	173
424	172
425	160
426	46
427	195
428	136
429	147
430	34
431	34
432	108
433	161
434	162
435	130
436	68
437	115
438	136
439	147
440	34
441	16
442	127
